WORKERS: "gpu05-ib:5555"
Start at Sun Feb 14 03:51:49 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu05
Running on 1 nodes.
Running 2 tasks per node
Job id is 1095029
0: Number of devices per node: 2
1: Number of devices per node: 2
0: rank 0
0: 
1: rank 1
0: => creating model 'resnet50'
1: => creating model 'resnet50'
1: Epoch 0/90 - 65.675s
0: Epoch 0/90 - 65.675s
1: Epoch 1/90 - 31.536s
0: Epoch 1/90 - 31.536s
1: Epoch 2/90 - 31.377s
0: Epoch 2/90 - 31.377s
1: Epoch 3/90 - 31.425s
0: Epoch 3/90 - 31.425s
1: Epoch 4/90 - 31.465s
0: Epoch 4/90 - 31.465s
0: 
1: Epoch 5/90 - 31.425s
0: Epoch 5/90 - 31.425s
1: Epoch 6/90 - 31.487s
0: Epoch 6/90 - 31.487s
1: Epoch 7/90 - 31.401s
0: Epoch 7/90 - 31.401s
1: Epoch 8/90 - 31.516s
0: Epoch 8/90 - 31.517s
1: Epoch 9/90 - 31.530s
0: Epoch 9/90 - 31.530s
1: Epoch 10/90 - 31.529s
0: Epoch 10/90 - 31.529s
1: Epoch 11/90 - 31.338s
0: Epoch 11/90 - 31.338s
1: Epoch 12/90 - 31.371s
0: Epoch 12/90 - 31.371s
1: Epoch 13/90 - 31.436s
0: Epoch 13/90 - 31.436s
1: Epoch 14/90 - 31.675s
0: Epoch 14/90 - 31.675s
1: Epoch 15/90 - 31.480s
0: Epoch 15/90 - 31.480s
1: Epoch 16/90 - 31.351s
0: Epoch 16/90 - 31.351s
1: Epoch 17/90 - 31.187s
0: Epoch 17/90 - 31.187s
1: Epoch 18/90 - 31.147s
0: Epoch 18/90 - 31.147s
1: Epoch 19/90 - 31.027s
0: Epoch 19/90 - 31.027s
1: Epoch 20/90 - 31.049s
0: Epoch 20/90 - 31.049s
1: Epoch 21/90 - 31.209s
0: Epoch 21/90 - 31.209s
1: Epoch 22/90 - 31.254s
0: Epoch 22/90 - 31.254s
1: Epoch 23/90 - 31.277s
0: Epoch 23/90 - 31.277s
1: Epoch 24/90 - 33.026s
0: Epoch 24/90 - 33.026s
1: Epoch 25/90 - 31.415s
0: Epoch 25/90 - 31.415s
1: Epoch 26/90 - 31.348s
0: Epoch 26/90 - 31.348s
1: Epoch 27/90 - 31.462s
0: Epoch 27/90 - 31.462s
1: Epoch 28/90 - 31.352s
0: Epoch 28/90 - 31.352s
1: Epoch 29/90 - 31.426s
0: Epoch 29/90 - 31.426s
1: Epoch 30/90 - 31.373s
0: Epoch 30/90 - 31.373s
1: Epoch 31/90 - 31.393s
0: Epoch 31/90 - 31.393s
1: Epoch 32/90 - 31.333s
0: Epoch 32/90 - 31.333s
1: Epoch 33/90 - 31.394s
0: Epoch 33/90 - 31.394s
1: Epoch 34/90 - 31.056s
0: Epoch 34/90 - 31.056s
1: Epoch 35/90 - 31.055s
0: Epoch 35/90 - 31.055s
1: Epoch 36/90 - 31.026s
0: Epoch 36/90 - 31.026s
1: Epoch 37/90 - 31.075s
0: Epoch 37/90 - 31.075s
1: Epoch 38/90 - 31.125s
0: Epoch 38/90 - 31.125s
1: Epoch 39/90 - 31.042s
0: Epoch 39/90 - 31.042s
1: Epoch 40/90 - 31.045s
0: Epoch 40/90 - 31.045s
1: Epoch 41/90 - 31.206s
0: Epoch 41/90 - 31.206s
1: Epoch 42/90 - 31.222s
0: Epoch 42/90 - 31.222s
1: Epoch 43/90 - 31.131s
0: Epoch 43/90 - 31.131s
1: Epoch 44/90 - 31.044s
0: Epoch 44/90 - 31.044s
1: Epoch 45/90 - 32.430s
0: Epoch 45/90 - 32.430s
1: Epoch 46/90 - 31.552s
0: Epoch 46/90 - 31.552s
1: Epoch 47/90 - 31.153s
0: Epoch 47/90 - 31.153s
1: Epoch 48/90 - 31.255s
0: Epoch 48/90 - 31.255s
1: Epoch 49/90 - 31.135s
0: Epoch 49/90 - 31.135s
1: Epoch 50/90 - 31.123s
0: Epoch 50/90 - 31.123s
1: Epoch 51/90 - 31.139s
0: Epoch 51/90 - 31.139s
1: Epoch 52/90 - 31.180s
0: Epoch 52/90 - 31.180s
1: Epoch 53/90 - 31.178s
0: Epoch 53/90 - 31.178s
1: Epoch 54/90 - 31.138s
0: Epoch 54/90 - 31.138s
1: Epoch 55/90 - 31.205s
0: Epoch 55/90 - 31.205s
1: Epoch 56/90 - 31.170s
0: Epoch 56/90 - 31.170s
1: Epoch 57/90 - 31.128s
0: Epoch 57/90 - 31.128s
1: Epoch 58/90 - 31.085s
0: Epoch 58/90 - 31.085s
1: Epoch 59/90 - 32.509s
0: Epoch 59/90 - 32.509s
1: Epoch 60/90 - 33.194s
0: Epoch 60/90 - 33.194s
1: Epoch 61/90 - 31.303s
0: Epoch 61/90 - 31.303s
1: Epoch 62/90 - 31.200s
0: Epoch 62/90 - 31.200s
1: Epoch 63/90 - 31.163s
0: Epoch 63/90 - 31.163s
1: Epoch 64/90 - 31.272s
0: Epoch 64/90 - 31.272s
1: Epoch 65/90 - 31.224s
0: Epoch 65/90 - 31.224s
1: Epoch 66/90 - 31.239s
0: Epoch 66/90 - 31.239s
1: Epoch 67/90 - 31.185s
0: Epoch 67/90 - 31.185s
1: Epoch 68/90 - 31.227s
0: Epoch 68/90 - 31.227s
1: Epoch 69/90 - 31.332s
0: Epoch 69/90 - 31.332s
1: Epoch 70/90 - 31.276s
0: Epoch 70/90 - 31.276s
1: Epoch 71/90 - 31.281s
0: Epoch 71/90 - 31.281s
1: Epoch 72/90 - 32.679s
0: Epoch 72/90 - 32.679s
1: Epoch 73/90 - 31.287s
0: Epoch 73/90 - 31.287s
1: Epoch 74/90 - 31.162s
0: Epoch 74/90 - 31.162s
