WORKERS: "gpu03-ib:5555","gpu04-ib:5555"
Start at Sun Feb 14 03:27:28 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[03-04]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1095030
3: Number of devices per node: 2
0: Number of devices per node: 2
2: Number of devices per node: 2
1: Number of devices per node: 2
1: rank 1
0: rank 0
2: rank 2
3: rank 3
3: 
1: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
0: => creating model 'resnet50'
1: Epoch 0/90 - 38.806s
2: Epoch 0/90 - 38.806s
3: Epoch 0/90 - 38.806s
0: Epoch 0/90 - 38.807s
1: Epoch 1/90 - 20.767s
2: Epoch 1/90 - 20.767s
3: Epoch 1/90 - 20.767s
0: Epoch 1/90 - 20.766s
1: Epoch 2/90 - 20.722s
2: Epoch 2/90 - 20.722s
3: Epoch 2/90 - 20.722s
0: Epoch 2/90 - 20.722s
1: Epoch 3/90 - 20.900s
2: Epoch 3/90 - 20.900s
3: Epoch 3/90 - 20.900s
0: Epoch 3/90 - 20.900s
1: Epoch 4/90 - 20.547s
2: Epoch 4/90 - 20.547s
3: Epoch 4/90 - 20.547s
0: Epoch 4/90 - 20.547s
1: Epoch 5/90 - 20.898s
2: Epoch 5/90 - 20.898s
3: Epoch 5/90 - 20.898s
0: Epoch 5/90 - 20.898s
1: Epoch 6/90 - 20.690s
2: Epoch 6/90 - 20.690s
3: Epoch 6/90 - 20.690s
0: Epoch 6/90 - 20.690s
2: Epoch 7/90 - 20.967s
1: Epoch 7/90 - 20.967s
3: Epoch 7/90 - 20.967s
0: Epoch 7/90 - 20.967s
1: Epoch 8/90 - 20.440s
2: Epoch 8/90 - 20.440s
3: Epoch 8/90 - 20.440s
0: Epoch 8/90 - 20.440s
1: Epoch 9/90 - 20.944s
2: Epoch 9/90 - 20.944s
3: Epoch 9/90 - 20.944s
0: Epoch 9/90 - 20.944s
1: Epoch 10/90 - 20.770s
2: Epoch 10/90 - 20.770s
3: Epoch 10/90 - 20.770s
0: Epoch 10/90 - 20.770s
1: Epoch 11/90 - 20.823s
2: Epoch 11/90 - 20.823s
3: Epoch 11/90 - 20.823s
0: Epoch 11/90 - 20.823s
1: Epoch 12/90 - 20.758s
2: Epoch 12/90 - 20.758s
3: Epoch 12/90 - 20.758s
0: Epoch 12/90 - 20.758s
1: Epoch 13/90 - 20.819s
2: Epoch 13/90 - 20.819s
3: Epoch 13/90 - 20.819s
0: Epoch 13/90 - 20.819s
1: Epoch 14/90 - 20.767s
2: Epoch 14/90 - 20.767s
3: Epoch 14/90 - 20.767s
0: Epoch 14/90 - 20.767s
1: Epoch 15/90 - 20.349s
2: Epoch 15/90 - 20.349s
3: Epoch 15/90 - 20.349s
0: Epoch 15/90 - 20.349s
1: Epoch 16/90 - 20.088s
2: Epoch 16/90 - 20.088s
3: Epoch 16/90 - 20.088s
0: Epoch 16/90 - 20.088s
1: Epoch 17/90 - 20.203s
2: Epoch 17/90 - 20.203s
3: Epoch 17/90 - 20.203s
0: Epoch 17/90 - 20.203s
2: Epoch 18/90 - 20.262s
3: Epoch 18/90 - 20.262s
0: Epoch 18/90 - 20.262s
1: Epoch 18/90 - 20.266s
1: Epoch 19/90 - 20.925s
2: Epoch 19/90 - 20.929s
3: Epoch 19/90 - 20.929s
0: Epoch 19/90 - 20.929s
1: Epoch 20/90 - 20.544s
2: Epoch 20/90 - 20.544s
3: Epoch 20/90 - 20.544s
0: Epoch 20/90 - 20.544s
1: Epoch 21/90 - 20.470s
2: Epoch 21/90 - 20.470s
3: Epoch 21/90 - 20.470s
0: Epoch 21/90 - 20.470s
1: Epoch 22/90 - 20.345s
2: Epoch 22/90 - 20.345s
3: Epoch 22/90 - 20.345s
0: Epoch 22/90 - 20.345s
1: Epoch 23/90 - 20.313s
2: Epoch 23/90 - 20.313s
3: Epoch 23/90 - 20.313s
0: Epoch 23/90 - 20.313s
1: Epoch 24/90 - 20.268s
2: Epoch 24/90 - 20.268s
3: Epoch 24/90 - 20.268s
0: Epoch 24/90 - 20.268s
1: Epoch 25/90 - 21.246s
2: Epoch 25/90 - 21.246s
3: Epoch 25/90 - 21.246s
0: Epoch 25/90 - 21.246s
1: Epoch 26/90 - 20.479s
2: Epoch 26/90 - 20.479s
3: Epoch 26/90 - 20.479s
0: Epoch 26/90 - 20.479s
1: Epoch 27/90 - 20.908s
3: Epoch 27/90 - 20.908s
2: Epoch 27/90 - 20.908s
0: Epoch 27/90 - 20.908s
1: Epoch 28/90 - 20.450s
2: Epoch 28/90 - 20.450s
3: Epoch 28/90 - 20.450s
0: Epoch 28/90 - 20.450s
1: Epoch 29/90 - 20.911s
3: Epoch 29/90 - 20.911s
2: Epoch 29/90 - 20.911s
0: Epoch 29/90 - 20.911s
1: Epoch 30/90 - 20.910s
2: Epoch 30/90 - 20.910s
3: Epoch 30/90 - 20.910s
0: Epoch 30/90 - 20.910s
1: Epoch 31/90 - 20.794s
2: Epoch 31/90 - 20.794s
3: Epoch 31/90 - 20.794s
0: Epoch 31/90 - 20.794s
1: Epoch 32/90 - 20.298s
2: Epoch 32/90 - 20.298s
3: Epoch 32/90 - 20.298s
0: Epoch 32/90 - 20.298s
1: Epoch 33/90 - 20.236s
2: Epoch 33/90 - 20.236s
3: Epoch 33/90 - 20.236s
0: Epoch 33/90 - 20.236s
1: Epoch 34/90 - 20.229s
2: Epoch 34/90 - 20.229s
3: Epoch 34/90 - 20.229s
0: Epoch 34/90 - 20.229s
1: Epoch 35/90 - 20.319s
2: Epoch 35/90 - 20.319s
3: Epoch 35/90 - 20.319s
0: Epoch 35/90 - 20.319s
1: Epoch 36/90 - 20.429s
2: Epoch 36/90 - 20.429s
3: Epoch 36/90 - 20.429s
0: Epoch 36/90 - 20.429s
1: Epoch 37/90 - 20.730s
2: Epoch 37/90 - 20.730s
3: Epoch 37/90 - 20.730s
0: Epoch 37/90 - 20.730s
1: Epoch 38/90 - 20.376s
2: Epoch 38/90 - 20.376s
3: Epoch 38/90 - 20.376s
0: Epoch 38/90 - 20.376s
1: Epoch 39/90 - 21.001s
2: Epoch 39/90 - 21.001s
3: Epoch 39/90 - 21.001s
0: Epoch 39/90 - 21.001s
1: Epoch 40/90 - 21.079s
2: Epoch 40/90 - 21.079s
3: Epoch 40/90 - 21.079s
0: Epoch 40/90 - 21.079s
1: Epoch 41/90 - 21.214s
2: Epoch 41/90 - 21.214s
3: Epoch 41/90 - 21.214s
0: Epoch 41/90 - 21.214s
1: Epoch 42/90 - 21.120s
2: Epoch 42/90 - 21.120s
3: Epoch 42/90 - 21.120s
0: Epoch 42/90 - 21.120s
1: Epoch 43/90 - 20.751s
2: Epoch 43/90 - 20.751s
3: Epoch 43/90 - 20.751s
0: Epoch 43/90 - 20.751s
1: Epoch 44/90 - 20.368s
2: Epoch 44/90 - 20.368s
3: Epoch 44/90 - 20.368s
0: Epoch 44/90 - 20.369s
