WORKERS: "gpu07-ib:5555"
Start at Sun Feb 14 03:51:47 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu07
Running on 1 nodes.
Running 2 tasks per node
Job id is 1095024
0: Number of devices per node: 2
1: Number of devices per node: 2
1: rank 1
1: 
0: rank 0
0: => creating model 'resnet50'
1: => creating model 'resnet50'
0: Epoch 83/90 - 101.321s
1: Epoch 84/90 - 101.195s
0: Epoch 84/90 - 101.195s
1: Epoch 85/90 - 101.905s
0: Epoch 85/90 - 101.905s
1: Epoch 86/90 - 102.614s
0: Epoch 86/90 - 102.614s
1: Epoch 87/90 - 103.754s
0: Epoch 87/90 - 103.754s
1: Epoch 88/90 - 104.949s
0: Epoch 88/90 - 104.949s
1: Epoch 89/90 - 104.546s
1: Steps per epoch: 391
1: Validation steps per epoch: 157
1: Average time per epoch: 104.520 s
0: Epoch 89/90 - 104.546s
0: 
0: Steps per epoch: 391
0: Validation steps per epoch: 157
0: Average time per epoch: 104.520 s
1: --- 9410.166023015976 seconds ---
0: --- 9410.178219556808 seconds ---
ELAPSED: 9413 seconds
End at Sun Feb 14 06:28:40 EET 2021
