WORKERS: "gpu06-ib:5555","gpu07-ib:5555"
Start at Sun Feb  7 14:15:33 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[06-07]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1090368
1: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
2: Number of devices per node: 2
0: rank 0
1: rank 
1: 1
2: rank 2
3: rank 3
1: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
0: => creating model 'resnet50'
0: Epoch 40/90 - 26.043s
1: Epoch 41/90 - 25.822s
3: Epoch 41/90 - 25.822s
2: Epoch 41/90 - 25.822s
0: Epoch 41/90 - 25.822s
1: Epoch 42/90 - 25.605s
2: Epoch 42/90 - 25.605s
3: Epoch 42/90 - 25.605s
0: Epoch 42/90 - 25.605s
1: Epoch 43/90 - 25.479s
2: Epoch 43/90 - 25.479s
3: Epoch 43/90 - 25.479s
0: Epoch 43/90 - 25.479s
1: Epoch 44/90 - 25.594s
2: Epoch 44/90 - 25.594s
3: Epoch 44/90 - 25.594s
0: Epoch 44/90 - 25.594s
1: Epoch 45/90 - 25.474s
2: Epoch 45/90 - 25.474s
3: Epoch 45/90 - 25.474s
0: Epoch 45/90 - 25.474s
1: Epoch 46/90 - 25.809s
2: Epoch 46/90 - 25.809s
3: Epoch 46/90 - 25.809s
0: Epoch 46/90 - 25.809s
1: Epoch 47/90 - 25.629s
2: Epoch 47/90 - 25.629s
3: Epoch 47/90 - 25.629s
0: Epoch 47/90 - 25.629s
1: Epoch 48/90 - 25.636s
2: Epoch 48/90 - 25.636s
3: Epoch 48/90 - 25.636s
0: Epoch 48/90 - 25.636s
1: Epoch 49/90 - 25.655s
2: Epoch 49/90 - 25.655s
3: Epoch 49/90 - 25.655s
0: Epoch 49/90 - 25.655s
2: Epoch 50/90 - 25.475s
3: Epoch 50/90 - 25.475s
1: Epoch 50/90 - 25.475s
0: Epoch 50/90 - 25.475s
1: Epoch 51/90 - 25.674s
2: Epoch 51/90 - 25.674s
3: Epoch 51/90 - 25.674s
0: Epoch 51/90 - 25.674s
1: Epoch 52/90 - 25.457s
2: Epoch 52/90 - 25.457s
3: Epoch 52/90 - 25.457s
0: Epoch 52/90 - 25.457s
1: Epoch 53/90 - 25.717s
2: Epoch 53/90 - 25.717s
3: Epoch 53/90 - 25.717s
0: Epoch 53/90 - 25.717s
1: Epoch 54/90 - 25.656s
2: Epoch 54/90 - 25.656s
3: Epoch 54/90 - 25.656s
0: Epoch 54/90 - 25.656s
1: Epoch 55/90 - 25.516s
2: Epoch 55/90 - 25.516s
3: Epoch 55/90 - 25.516s
0: Epoch 55/90 - 25.516s
1: Epoch 56/90 - 25.655s
2: Epoch 56/90 - 25.655s
3: Epoch 56/90 - 25.656s
0: Epoch 56/90 - 25.656s
1: Epoch 57/90 - 25.726s
2: Epoch 57/90 - 25.726s
0: Epoch 57/90 - 25.726s
3: Epoch 57/90 - 25.726s
1: Epoch 58/90 - 25.678s
2: Epoch 58/90 - 25.678s
3: Epoch 58/90 - 25.678s
0: Epoch 58/90 - 25.678s
1: Epoch 59/90 - 25.731s
2: Epoch 59/90 - 25.731s
3: Epoch 59/90 - 25.731s
0: Epoch 59/90 - 25.731s
1: Epoch 60/90 - 25.653s
2: Epoch 60/90 - 25.653s
3: Epoch 60/90 - 25.653s
0: Epoch 60/90 - 25.653s
1: Epoch 61/90 - 25.367s
2: Epoch 61/90 - 25.367s
3: Epoch 61/90 - 25.367s
0: Epoch 61/90 - 25.367s
1: Epoch 62/90 - 25.558s
2: Epoch 62/90 - 25.558s
3: Epoch 62/90 - 25.558s
0: Epoch 62/90 - 25.558s
1: Epoch 63/90 - 25.351s
2: Epoch 63/90 - 25.351s
3: Epoch 63/90 - 25.351s
0: Epoch 63/90 - 25.351s
1: Epoch 64/90 - 25.685s
2: Epoch 64/90 - 25.685s
3: Epoch 64/90 - 25.685s
0: Epoch 64/90 - 25.685s
1: Epoch 65/90 - 25.373s
2: Epoch 65/90 - 25.373s
3: Epoch 65/90 - 25.373s
0: Epoch 65/90 - 25.373s
1: Epoch 66/90 - 25.422s
2: Epoch 66/90 - 25.422s
3: Epoch 66/90 - 25.422s
0: Epoch 66/90 - 25.422s
1: Epoch 67/90 - 25.802s
2: Epoch 67/90 - 25.802s
3: Epoch 67/90 - 25.802s
0: Epoch 67/90 - 25.802s
1: Epoch 68/90 - 25.614s
2: Epoch 68/90 - 25.614s
3: Epoch 68/90 - 25.614s
0: Epoch 68/90 - 25.614s
1: Epoch 69/90 - 25.582s
2: Epoch 69/90 - 25.582s
3: Epoch 69/90 - 25.582s
0: Epoch 69/90 - 25.582s
1: Epoch 70/90 - 25.870s
2: Epoch 70/90 - 25.870s
3: Epoch 70/90 - 25.870s
0: Epoch 70/90 - 25.870s
1: Epoch 71/90 - 25.661s
2: Epoch 71/90 - 25.661s
0: Epoch 71/90 - 25.661s
3: Epoch 71/90 - 25.661s
1: Epoch 72/90 - 25.284s
2: Epoch 72/90 - 25.284s
3: Epoch 72/90 - 25.284s
0: Epoch 72/90 - 25.284s
0: 
1: Epoch 73/90 - 25.282s
2: Epoch 73/90 - 25.282s
0: Epoch 73/90 - 25.282s
3: Epoch 73/90 - 25.282s
1: Epoch 74/90 - 25.413s
2: Epoch 74/90 - 25.413s
3: Epoch 74/90 - 25.413s
0: Epoch 74/90 - 25.413s
1: Epoch 75/90 - 25.847s
2: Epoch 75/90 - 25.847s
3: Epoch 75/90 - 25.847s
0: Epoch 75/90 - 25.847s
1: Epoch 76/90 - 25.535s
2: Epoch 76/90 - 25.535s
3: Epoch 76/90 - 25.535s
0: Epoch 76/90 - 25.535s
1: Epoch 77/90 - 25.587s
2: Epoch 77/90 - 25.587s
3: Epoch 77/90 - 25.587s
0: Epoch 77/90 - 25.587s
1: Epoch 78/90 - 25.803s
2: Epoch 78/90 - 25.803s
3: Epoch 78/90 - 25.803s
0: Epoch 78/90 - 25.803s
1: Epoch 79/90 - 25.591s
2: Epoch 79/90 - 25.591s
3: Epoch 79/90 - 25.591s
0: Epoch 79/90 - 25.591s
1: Epoch 80/90 - 25.492s
2: Epoch 80/90 - 25.492s
3: Epoch 80/90 - 25.492s
0: Epoch 80/90 - 25.492s
1: Epoch 81/90 - 25.484s
2: Epoch 81/90 - 25.484s
3: Epoch 81/90 - 25.484s
0: Epoch 81/90 - 25.484s
1: Epoch 82/90 - 25.526s
2: Epoch 82/90 - 25.526s
3: Epoch 82/90 - 25.526s
0: Epoch 82/90 - 25.526s
1: Epoch 83/90 - 25.422s
2: Epoch 83/90 - 25.422s
0: Epoch 83/90 - 25.422s
3: Epoch 83/90 - 25.422s
1: Epoch 84/90 - 25.002s
2: Epoch 84/90 - 25.002s
3: Epoch 84/90 - 25.002s
0: Epoch 84/90 - 25.002s
1: Epoch 85/90 - 25.283s
2: Epoch 85/90 - 25.283s
3: Epoch 85/90 - 25.283s
0: Epoch 85/90 - 25.283s
1: Epoch 86/90 - 25.615s
2: Epoch 86/90 - 25.615s
3: Epoch 86/90 - 25.615s
0: Epoch 86/90 - 25.615s
1: Epoch 87/90 - 25.296s
2: Epoch 87/90 - 25.296s
3: Epoch 87/90 - 25.296s
0: Epoch 87/90 - 25.296s
1: Epoch 88/90 - 25.328s
2: Epoch 88/90 - 25.328s
0: Epoch 88/90 - 25.328s
3: Epoch 88/90 - 25.328s
1: Epoch 89/90 - 25.287s
1: Steps per epoch: 49
1: Validation steps per epoch: 40
2: Epoch 89/90 - 25.287s
2: Steps per epoch: 49
2: Validation steps per epoch: 40
3: Epoch 89/90 - 25.287s
3: Steps per epoch: 49
3: Validation steps per epoch: 40
0: Epoch 89/90 - 25.287s
3: Average time per epoch: 25.642 s
0: Steps per epoch: 49
0: Validation steps per epoch: 40
2: Average time per epoch: 25.642 s
1: Average time per epoch: 25.642 s
0: Average time per epoch: 25.642 s
3: --- 2311.457293987274 seconds ---
1: --- 2311.5605046749115 seconds ---
0: --- 2311.60054397583 seconds ---
2: --- 2311.459844827652 seconds ---
ELAPSED: 2313 seconds
End at Sun Feb  7 14:54:06 EET 2021
