WORKERS: "gpu05-ib:5555","gpu06-ib:5555","gpu07-ib:5555","gpu08-ib:5555","gpu09-ib:5555","gpu10-ib:5555","gpu11-ib:5555","gpu12-ib:5555"
Start at Sat Feb 13 23:49:44 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[05-12]
Running on 8 nodes.
Running 2 tasks per node
Job id is 1094930
01: Number of devices per node: 2
05: Number of devices per node: 2
00: Number of devices per node: 2
02: Number of devices per node: 2
07: Number of devices per node: 2
04: Number of devices per node: 2
03: Number of devices per node: 2
06: Number of devices per node: 2
14: Number of devices per node: 2
11: Number of devices per node: 2
15: Number of devices per node: 2
10: Number of devices per node: 2
13: Number of devices per node: 2
09: Number of devices per node: 2
12: Number of devices per node: 2
08: Number of devices per node: 2
12: rank 12
01: rank 1
02: rank 
01: 
02: 2
15: rank 15
03: rank
15: 
03:  3
14: rank
10: rank 10
03: 
14:  14
07: rank 7
08: rank 8
10: 
09: rank 9
11: rank 
04: rank 4
11: 11
06: rank 6
05: rank 5
00: rank 0
13: rank 13
01: => creating model 'resnet50'
03: => creating model 'resnet50'
00: => creating model 'resnet50'
10: => creating model 'resnet50'
11: => creating model 'resnet50'
06: => creating model 'resnet50'
02: => creating model 'resnet50'
04: => creating model 'resnet50'
05: => creating model 'resnet50'
07: => creating model 'resnet50'
14: => creating model 'resnet50'
15: => creating model 'resnet50'
08: => creating model 'resnet50'
09: => creating model 'resnet50'
13: => creating model 'resnet50'
12: => creating model 'resnet50'
12: Epoch: [0][ 0/49]	3.661992073059082	0.07784557342529297	7.16507625579834	1.46484375
01: Epoch: [0][ 0/49]	3.67976450920105	0.025362253189086914	7.16507625579834	1.46484375
13: Epoch: [0][ 0/49]	3.6618001461029053	0.07738733291625977	7.16507625579834	1.46484375
09: Epoch: [0][ 0/49]	3.667898654937744	0.04674839973449707	7.16507625579834	1.46484375
07: Epoch: [0][ 0/49]	3.6766390800476074	0.02546525001525879	7.16507625579834	1.46484375
10: Epoch: [0][ 0/49]	3.6682844161987305	0.025902509689331055	7.16507625579834	1.46484375
00: Epoch: [0][ 0/49]	3.6817052364349365	0.02564525604248047	7.16507625579834	1.46484375
11: Epoch: [0][ 0/49]	3.6634843349456787	0.025253772735595703	7.16507625579834	1.46484375
08: Epoch: [0][ 0/49]	3.667037010192871	0.045400142669677734	7.16507625579834	1.46484375
05: Epoch: [0][ 0/49]	3.6772937774658203	0.029274463653564453	7.16507625579834	1.46484375
04: Epoch: [0][ 0/49]	3.6781113147735596	0.025383472442626953	7.16507625579834	1.46484375
03: Epoch: [0][ 0/49]	3.678779125213623	0.0258636474609375	7.16507625579834	1.46484375
02: Epoch: [0][ 0/49]	3.6808996200561523	0.025232791900634766	7.16507625579834	1.46484375
06: Epoch: [0][ 0/49]	3.679468870162964	0.026749134063720703	7.16507625579834	1.46484375
15: Epoch: [0][ 0/49]	3.663363456726074	0.02692246437072754	7.16507625579834	1.46484375
