WORKERS: "gpu06-ib:5555"
Start at Tue Feb  9 15:39:46 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu06
Running on 1 nodes.
Running 2 tasks per node
Job id is 1092087
1: Number of devices per node: 2
0: Number of devices per node: 2
1: rank 1
0: rank 0
0: => creating model 'resnet50'
1: => creating model 'resnet50'
1: Epoch 0/90 - 70.647s
0: Epoch 0/90 - 70.648s
1: Epoch 1/90 - 63.105s
0: Epoch 1/90 - 63.105s
1: Epoch 2/90 - 63.008s
0: Epoch 2/90 - 63.008s
1: Epoch 3/90 - 62.284s
0: Epoch 3/90 - 62.284s
1: Epoch 4/90 - 62.474s
0: Epoch 4/90 - 62.474s
1: Epoch 5/90 - 62.353s
0: Epoch 5/90 - 62.353s
1: Epoch 6/90 - 60.237s
0: Epoch 6/90 - 60.237s
1: Epoch 7/90 - 59.860s
0: Epoch 7/90 - 59.860s
1: Epoch 8/90 - 59.872s
0: Epoch 8/90 - 59.872s
1: Epoch 9/90 - 59.562s
0: Epoch 9/90 - 59.562s
1: Epoch 10/90 - 60.071s
0: Epoch 10/90 - 60.071s
1: Epoch 11/90 - 60.670s
0: Epoch 11/90 - 60.670s
1: Epoch 12/90 - 59.915s
0: Epoch 12/90 - 59.915s
1: Epoch 13/90 - 59.780s
0: Epoch 13/90 - 59.780s
1: Epoch 14/90 - 60.366s
0: Epoch 14/90 - 60.366s
1: Epoch 15/90 - 60.084s
0: Epoch 15/90 - 60.084s
1: Epoch 16/90 - 60.023s
0: Epoch 16/90 - 60.023s
1: Epoch 17/90 - 60.098s
0: Epoch 17/90 - 60.098s
1: Epoch 18/90 - 60.928s
0: Epoch 18/90 - 60.928s
1: Epoch 19/90 - 61.961s
0: Epoch 19/90 - 61.961s
1: Epoch 20/90 - 61.255s
0: Epoch 20/90 - 61.255s
1: Epoch 21/90 - 60.249s
0: Epoch 21/90 - 60.249s
1: Epoch 22/90 - 61.234s
0: Epoch 22/90 - 61.234s
1: Epoch 23/90 - 60.086s
0: Epoch 23/90 - 60.086s
1: Epoch 24/90 - 60.097s
0: Epoch 24/90 - 60.097s
1: Epoch 25/90 - 60.042s
0: Epoch 25/90 - 60.042s
1: Epoch 26/90 - 60.252s
0: Epoch 26/90 - 60.252s
1: Epoch 27/90 - 59.706s
0: Epoch 27/90 - 59.706s
1: Epoch 28/90 - 59.776s
0: Epoch 28/90 - 59.776s
1: Epoch 29/90 - 59.839s
0: Epoch 29/90 - 59.839s
1: Epoch 30/90 - 60.272s
0: Epoch 30/90 - 60.272s
1: Epoch 31/90 - 60.928s
0: Epoch 31/90 - 60.928s
1: Epoch 32/90 - 61.075s
0: Epoch 32/90 - 61.075s
1: Epoch 33/90 - 60.119s
0: Epoch 33/90 - 60.119s
1: Epoch 34/90 - 60.518s
0: Epoch 34/90 - 60.518s
1: Epoch 35/90 - 61.888s
0: Epoch 35/90 - 61.888s
1: Epoch 36/90 - 60.000s
0: Epoch 36/90 - 60.000s
1: Epoch 37/90 - 60.911s
0: Epoch 37/90 - 60.911s
1: Epoch 38/90 - 59.701s
0: Epoch 38/90 - 59.701s
1: Epoch 39/90 - 61.238s
0: Epoch 39/90 - 61.238s
1: Epoch 40/90 - 60.408s
0: Epoch 40/90 - 60.408s
1: Epoch 41/90 - 60.026s
0: Epoch 41/90 - 60.026s
1: Epoch 42/90 - 60.540s
0: Epoch 42/90 - 60.540s
1: Epoch 43/90 - 61.087s
0: Epoch 43/90 - 61.087s
1: Epoch 44/90 - 61.569s
0: Epoch 44/90 - 61.569s
1: Epoch 45/90 - 61.084s
0: Epoch 45/90 - 61.084s
1: Epoch 46/90 - 60.500s
0: Epoch 46/90 - 60.500s
1: Epoch 47/90 - 60.626s
0: Epoch 47/90 - 60.626s
1: Epoch 48/90 - 60.589s
0: Epoch 48/90 - 60.589s
1: Epoch 49/90 - 61.501s
0: Epoch 49/90 - 61.501s
1: Epoch 50/90 - 61.798s
0: Epoch 50/90 - 61.798s
1: Epoch 51/90 - 61.530s
0: Epoch 51/90 - 61.530s
