WORKERS: "gpu01-ib:5555","gpu02-ib:5555"
Start at Sun Feb 14 03:27:28 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[01-02]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1095025
1: Number of devices per node: 2
2: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
3: 
0: rank 0
2: rank 2
1: rank 1
3: rank 3
1: => creating model 'resnet50'
0: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
0: Epoch 40/90 - 62.497s
1: Epoch 41/90 - 61.587s
2: Epoch 41/90 - 61.587s
3: Epoch 41/90 - 61.587s
0: Epoch 41/90 - 61.587s
1: Epoch 42/90 - 62.660s
2: Epoch 42/90 - 62.660s
3: Epoch 42/90 - 62.660s
0: Epoch 42/90 - 62.660s
1: Epoch 43/90 - 61.863s
2: Epoch 43/90 - 61.863s
3: Epoch 43/90 - 61.863s
0: Epoch 43/90 - 61.863s
1: Epoch 44/90 - 61.751s
2: Epoch 44/90 - 61.751s
3: Epoch 44/90 - 61.751s
0: Epoch 44/90 - 61.751s
1: Epoch 45/90 - 61.832s
2: Epoch 45/90 - 61.832s
3: Epoch 45/90 - 61.832s
0: Epoch 45/90 - 61.832s
1: Epoch 46/90 - 62.098s
2: Epoch 46/90 - 62.098s
3: Epoch 46/90 - 62.098s
0: Epoch 46/90 - 62.098s
1: Epoch 47/90 - 62.212s
2: Epoch 47/90 - 62.212s
3: Epoch 47/90 - 62.212s
0: Epoch 47/90 - 62.212s
1: Epoch 48/90 - 61.919s
2: Epoch 48/90 - 61.919s
3: Epoch 48/90 - 61.919s
0: Epoch 48/90 - 61.919s
1: Epoch 49/90 - 61.285s
2: Epoch 49/90 - 61.285s
3: Epoch 49/90 - 61.285s
0: Epoch 49/90 - 61.285s
1: Epoch 50/90 - 61.875s
2: Epoch 50/90 - 61.875s
3: Epoch 50/90 - 61.875s
0: Epoch 50/90 - 61.875s
1: Epoch 51/90 - 61.567s
2: Epoch 51/90 - 61.567s
3: Epoch 51/90 - 61.567s
0: Epoch 51/90 - 61.567s
1: Epoch 52/90 - 61.749s
2: Epoch 52/90 - 61.749s
3: Epoch 52/90 - 61.749s
0: Epoch 52/90 - 61.749s
1: Epoch 53/90 - 61.524s
2: Epoch 53/90 - 61.524s
3: Epoch 53/90 - 61.524s
0: Epoch 53/90 - 61.524s
1: Epoch 54/90 - 61.750s
2: Epoch 54/90 - 61.750s
3: Epoch 54/90 - 61.750s
0: Epoch 54/90 - 61.750s
1: Epoch 55/90 - 62.075s
2: Epoch 55/90 - 62.075s
3: Epoch 55/90 - 62.075s
0: Epoch 55/90 - 62.075s
1: Epoch 56/90 - 62.278s
2: Epoch 56/90 - 62.278s
3: Epoch 56/90 - 62.278s
0: Epoch 56/90 - 62.278s
1: Epoch 57/90 - 62.108s
2: Epoch 57/90 - 62.108s
3: Epoch 57/90 - 62.108s
0: Epoch 57/90 - 62.108s
1: Epoch 58/90 - 62.026s
2: Epoch 58/90 - 62.026s
3: Epoch 58/90 - 62.026s
0: Epoch 58/90 - 62.027s
1: Epoch 59/90 - 62.066s
2: Epoch 59/90 - 62.066s
3: Epoch 59/90 - 62.066s
0: Epoch 59/90 - 62.066s
1: Epoch 60/90 - 62.307s
2: Epoch 60/90 - 62.307s
3: Epoch 60/90 - 62.307s
0: Epoch 60/90 - 62.307s
1: Epoch 61/90 - 62.027s
2: Epoch 61/90 - 62.027s
3: Epoch 61/90 - 62.027s
0: Epoch 61/90 - 62.027s
