WORKERS: "gpu08-ib:5555","gpu09-ib:5555"
Start at Tue Feb  9 16:38:43 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[08-09]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1092097
0: Number of devices per node: 2
1: Number of devices per node: 2
2: Number of devices per node: 2
3: Number of devices per node: 2
1: rank 1
3: rank 3
2: rank 2
0: rank 
0: 0
2: => creating model 'resnet50'
3: => creating model 'resnet50'
0: => creating model 'resnet50'
1: => creating model 'resnet50'
3: Epoch 0/90 - 46.413s
1: Epoch 0/90 - 46.413s
2: Epoch 0/90 - 46.413s
0: Epoch 0/90 - 46.413s
2: 
1: Epoch 1/90 - 38.581s
2: Epoch 1/90 - 38.581s
3: Epoch 1/90 - 38.581s
0: Epoch 1/90 - 38.581s
1: Epoch 2/90 - 38.603s
2: Epoch 2/90 - 38.603s
3: Epoch 2/90 - 38.603s
0: Epoch 2/90 - 38.603s
1: Epoch 3/90 - 38.801s
2: Epoch 3/90 - 38.801s
3: Epoch 3/90 - 38.801s
0: Epoch 3/90 - 38.801s
1: Epoch 4/90 - 38.725s
2: Epoch 4/90 - 38.725s
3: Epoch 4/90 - 38.725s
0: Epoch 4/90 - 38.725s
0: 
1: Epoch 5/90 - 38.760s
2: Epoch 5/90 - 38.760s
3: Epoch 5/90 - 38.760s
0: Epoch 5/90 - 38.760s
1: Epoch 6/90 - 38.527s
2: Epoch 6/90 - 38.527s
3: Epoch 6/90 - 38.527s
0: Epoch 6/90 - 38.527s
1: Epoch 7/90 - 38.417s
2: Epoch 7/90 - 38.417s
3: Epoch 7/90 - 38.417s
0: Epoch 7/90 - 38.417s
1: Epoch 8/90 - 38.848s
2: Epoch 8/90 - 38.848s
3: Epoch 8/90 - 38.848s
0: Epoch 8/90 - 38.848s
1: Epoch 9/90 - 38.546s
2: Epoch 9/90 - 38.546s
3: Epoch 9/90 - 38.546s
0: Epoch 9/90 - 38.546s
1: Epoch 10/90 - 37.876s
2: Epoch 10/90 - 37.876s
3: Epoch 10/90 - 37.876s
0: Epoch 10/90 - 37.876s
1: Epoch 11/90 - 38.165s
2: Epoch 11/90 - 38.165s
3: Epoch 11/90 - 38.165s
0: Epoch 11/90 - 38.165s
1: Epoch 12/90 - 37.728s
2: Epoch 12/90 - 37.728s
3: Epoch 12/90 - 37.728s
0: Epoch 12/90 - 37.728s
1: Epoch 13/90 - 38.434s
2: Epoch 13/90 - 38.434s
3: Epoch 13/90 - 38.434s
0: Epoch 13/90 - 38.434s
1: Epoch 14/90 - 38.401s
2: Epoch 14/90 - 38.401s
3: Epoch 14/90 - 38.401s
