WORKERS: "gpu07-ib:5555"
Start at Tue Feb  9 15:39:49 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu07
Running on 1 nodes.
Running 2 tasks per node
Job id is 1092088
0: Number of devices per node: 2
1: Number of devices per node: 2
0: rank 0
1: rank 1
0: => creating model 'resnet50'
1: => creating model 'resnet50'
1: Epoch 0/90 - 110.588s
0: Epoch 0/90 - 110.588s
1: Epoch 1/90 - 104.504s
0: Epoch 1/90 - 104.504s
1: Epoch 2/90 - 103.953s
0: Epoch 2/90 - 103.953s
1: Epoch 3/90 - 104.859s
0: Epoch 3/90 - 104.859s
1: Epoch 4/90 - 105.351s
0: Epoch 4/90 - 105.351s
1: Epoch 5/90 - 104.209s
0: Epoch 5/90 - 104.209s
1: Epoch 6/90 - 104.015s
0: Epoch 6/90 - 104.015s
1: Epoch 7/90 - 104.999s
0: Epoch 7/90 - 104.999s
1: Epoch 8/90 - 105.937s
0: Epoch 8/90 - 105.937s
1: Epoch 9/90 - 105.988s
0: Epoch 9/90 - 105.988s
1: Epoch 10/90 - 106.094s
0: Epoch 10/90 - 106.095s
1: Epoch 11/90 - 105.734s
0: Epoch 11/90 - 105.734s
1: Epoch 12/90 - 105.378s
0: Epoch 12/90 - 105.378s
1: Epoch 13/90 - 105.295s
0: Epoch 13/90 - 105.295s
1: Epoch 14/90 - 105.989s
0: Epoch 14/90 - 105.989s
1: Epoch 15/90 - 105.841s
0: Epoch 15/90 - 105.841s
1: Epoch 16/90 - 105.220s
0: Epoch 16/90 - 105.220s
1: Epoch 17/90 - 105.365s
0: Epoch 17/90 - 105.365s
1: Epoch 18/90 - 106.220s
0: Epoch 18/90 - 106.220s
1: Epoch 19/90 - 106.227s
0: Epoch 19/90 - 106.227s
1: Epoch 20/90 - 106.424s
0: Epoch 20/90 - 106.424s
1: Epoch 21/90 - 106.185s
0: Epoch 21/90 - 106.185s
1: Epoch 22/90 - 105.491s
0: Epoch 22/90 - 105.491s
1: Epoch 23/90 - 104.477s
0: Epoch 23/90 - 104.477s
1: Epoch 24/90 - 104.239s
0: Epoch 24/90 - 104.239s
1: Epoch 25/90 - 103.870s
0: Epoch 25/90 - 103.870s
1: Epoch 26/90 - 105.863s
0: Epoch 26/90 - 105.863s
1: Epoch 27/90 - 106.566s
0: Epoch 27/90 - 106.566s
1: Epoch 28/90 - 103.748s
0: Epoch 28/90 - 103.748s
1: Epoch 29/90 - 104.662s
0: Epoch 29/90 - 104.662s
1: Epoch 30/90 - 104.223s
0: Epoch 30/90 - 104.223s
1: Epoch 31/90 - 104.628s
0: Epoch 31/90 - 104.628s
1: Epoch 32/90 - 107.224s
0: Epoch 32/90 - 107.224s
1: Epoch 33/90 - 106.500s
0: Epoch 33/90 - 106.500s
1: Epoch 34/90 - 105.952s
0: Epoch 34/90 - 105.952s
1: Epoch 35/90 - 105.995s
0: Epoch 35/90 - 105.995s
1: Epoch 36/90 - 105.826s
0: Epoch 36/90 - 105.826s
1: Epoch 37/90 - 105.042s
0: Epoch 37/90 - 105.042s
1: Epoch 38/90 - 104.117s
0: Epoch 38/90 - 104.117s
1: Epoch 39/90 - 104.138s
0: Epoch 39/90 - 104.138s
1: Epoch 40/90 - 103.322s
0: Epoch 40/90 - 103.322s
1: Epoch 41/90 - 102.415s
0: Epoch 41/90 - 102.415s
1: Epoch 42/90 - 103.312s
0: Epoch 42/90 - 103.312s
1: Epoch 43/90 - 103.530s
0: Epoch 43/90 - 103.530s
1: Epoch 44/90 - 104.623s
0: Epoch 44/90 - 104.623s
1: Epoch 45/90 - 104.759s
0: Epoch 45/90 - 104.759s
1: Epoch 46/90 - 103.814s
0: Epoch 46/90 - 103.814s
1: Epoch 47/90 - 103.931s
0: Epoch 47/90 - 103.931s
1: Epoch 48/90 - 104.173s
0: Epoch 48/90 - 104.173s
1: Epoch 49/90 - 103.324s
0: Epoch 49/90 - 103.324s
1: Epoch 50/90 - 103.478s
0: Epoch 50/90 - 103.478s
1: Epoch 51/90 - 103.715s
0: Epoch 51/90 - 103.715s
1: Epoch 52/90 - 105.125s
0: Epoch 52/90 - 105.125s
1: Epoch 53/90 - 106.270s
0: Epoch 53/90 - 106.270s
1: Epoch 54/90 - 105.157s
0: Epoch 54/90 - 105.157s
1: Epoch 55/90 - 104.315s
0: Epoch 55/90 - 104.315s
1: Epoch 56/90 - 104.486s
0: Epoch 56/90 - 104.486s
1: Epoch 57/90 - 103.940s
0: Epoch 57/90 - 103.940s
1: Epoch 58/90 - 104.140s
0: Epoch 58/90 - 104.140s
1: Epoch 59/90 - 106.157s
0: Epoch 59/90 - 106.157s
1: Epoch 60/90 - 105.951s
0: Epoch 60/90 - 105.951s
1: Epoch 61/90 - 104.600s
0: Epoch 61/90 - 104.600s
1: Epoch 62/90 - 102.912s
0: Epoch 62/90 - 102.912s
1: Epoch 63/90 - 107.057s
0: Epoch 63/90 - 107.057s
1: Epoch 64/90 - 105.182s
0: Epoch 64/90 - 105.182s
1: Epoch 65/90 - 105.946s
0: Epoch 65/90 - 105.946s
1: Epoch 66/90 - 104.267s
0: Epoch 66/90 - 104.267s
1: Epoch 67/90 - 104.532s
0: Epoch 67/90 - 104.532s
1: Epoch 68/90 - 104.317s
0: Epoch 68/90 - 104.317s
1: Epoch 69/90 - 105.082s
0: Epoch 69/90 - 105.082s
1: Epoch 70/90 - 104.023s
0: Epoch 70/90 - 104.023s
1: Epoch 71/90 - 105.268s
0: Epoch 71/90 - 105.268s
1: Epoch 72/90 - 105.266s
0: Epoch 72/90 - 105.266s
1: Epoch 73/90 - 104.496s
0: Epoch 73/90 - 104.496s
1: Epoch 74/90 - 104.481s
0: Epoch 74/90 - 104.481s
1: Epoch 75/90 - 103.597s
0: Epoch 75/90 - 103.598s
1: Epoch 76/90 - 102.467s
0: Epoch 76/90 - 102.467s
1: Epoch 77/90 - 103.657s
0: Epoch 77/90 - 103.657s
1: Epoch 78/90 - 102.916s
0: Epoch 78/90 - 102.916s
1: Epoch 79/90 - 103.767s
0: Epoch 79/90 - 103.767s
1: Epoch 80/90 - 104.130s
0: Epoch 80/90 - 104.130s
1: Epoch 81/90 - 103.862s
0: Epoch 81/90 - 103.862s
1: Epoch 82/90 - 103.672s
0: Epoch 82/90 - 103.672s
1: Epoch 83/90 - 104.647s
0: Epoch 83/90 - 104.647s
1: Epoch 84/90 - 105.005s
0: Epoch 84/90 - 105.005s
1: Epoch 85/90 - 113.067s
0: Epoch 85/90 - 113.067s
1: Epoch 86/90 - 104.687s
0: Epoch 86/90 - 104.687s
1: Epoch 87/90 - 103.913s
0: Epoch 87/90 - 103.913s
1: Epoch 88/90 - 104.415s
0: Epoch 88/90 - 104.415s
1: Epoch 89/90 - 104.433s
1: Steps per epoch: 391
1: Validation steps per epoch: 157
0: Epoch 89/90 - 104.433s
0: Steps per epoch: 391
0: Validation steps per epoch: 157
0: Average time per epoch: 104.917 s
1: Average time per epoch: 104.917 s
0: --- 9446.32824921608 seconds ---
1: --- 9446.32827615738 seconds ---
ELAPSED: 9451 seconds
End at Tue Feb  9 18:17:20 EET 2021
