WORKERS: "gpu01-ib:5555","gpu02-ib:5555"
Start at Tue Feb  9 16:38:59 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[01-02]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1092098
1: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
2: Number of devices per node: 2
2: rank 2
1: rank 1
3: rank 3
0: rank 0
0: 
2: => creating model 'resnet50'
3: => creating model 'resnet50'
1: => creating model 'resnet50'
0: => creating model 'resnet50'
1: Epoch 0/90 - 38.736s
2: Epoch 0/90 - 38.736s
3: Epoch 0/90 - 38.736s
0: Epoch 0/90 - 38.736s
1: Epoch 1/90 - 20.715s
2: Epoch 1/90 - 20.715s
3: Epoch 1/90 - 20.715s
0: Epoch 1/90 - 20.715s
1: Epoch 2/90 - 20.594s
2: Epoch 2/90 - 20.594s
3: Epoch 2/90 - 20.594s
0: Epoch 2/90 - 20.594s
1: Epoch 3/90 - 20.405s
2: Epoch 3/90 - 20.405s
3: Epoch 3/90 - 20.405s
0: Epoch 3/90 - 20.405s
1: Epoch 4/90 - 20.260s
2: Epoch 4/90 - 20.260s
3: Epoch 4/90 - 20.260s
0: Epoch 4/90 - 20.260s
1: Epoch 5/90 - 20.573s
2: Epoch 5/90 - 20.573s
3: Epoch 5/90 - 20.573s
0: Epoch 5/90 - 20.573s
1: Epoch 6/90 - 20.243s
3: Epoch 6/90 - 20.243s
2: Epoch 6/90 - 20.243s
0: Epoch 6/90 - 20.243s
1: Epoch 7/90 - 20.282s
2: Epoch 7/90 - 20.282s
3: Epoch 7/90 - 20.282s
0: Epoch 7/90 - 20.282s
1: Epoch 8/90 - 20.508s
2: Epoch 8/90 - 20.508s
3: Epoch 8/90 - 20.508s
0: Epoch 8/90 - 20.508s
1: Epoch 9/90 - 20.532s
2: Epoch 9/90 - 20.531s
3: Epoch 9/90 - 20.531s
0: Epoch 9/90 - 20.532s
1: Epoch 10/90 - 20.529s
2: Epoch 10/90 - 20.529s
3: Epoch 10/90 - 20.529s
0: Epoch 10/90 - 20.529s
1: Epoch 11/90 - 20.438s
2: Epoch 11/90 - 20.438s
3: Epoch 11/90 - 20.438s
0: Epoch 11/90 - 20.438s
1: Epoch 12/90 - 20.142s
2: Epoch 12/90 - 20.142s
3: Epoch 12/90 - 20.142s
0: Epoch 12/90 - 20.142s
1: Epoch 13/90 - 20.323s
2: Epoch 13/90 - 20.323s
3: Epoch 13/90 - 20.323s
0: Epoch 13/90 - 20.323s
1: Epoch 14/90 - 20.554s
2: Epoch 14/90 - 20.554s
3: Epoch 14/90 - 20.554s
0: Epoch 14/90 - 20.554s
1: Epoch 15/90 - 20.203s
2: Epoch 15/90 - 20.203s
3: Epoch 15/90 - 20.203s
0: Epoch 15/90 - 20.203s
1: Epoch 16/90 - 20.502s
3: Epoch 16/90 - 20.502s
2: Epoch 16/90 - 20.502s
0: Epoch 16/90 - 20.502s
1: Epoch 17/90 - 20.505s
2: Epoch 17/90 - 20.505s
3: Epoch 17/90 - 20.505s
0: Epoch 17/90 - 20.505s
1: Epoch 18/90 - 20.535s
2: Epoch 18/90 - 20.535s
3: Epoch 18/90 - 20.535s
0: Epoch 18/90 - 20.535s
1: Epoch 19/90 - 20.490s
2: Epoch 19/90 - 20.490s
3: Epoch 19/90 - 20.490s
0: Epoch 19/90 - 20.490s
1: Epoch 20/90 - 20.500s
2: Epoch 20/90 - 20.500s
3: Epoch 20/90 - 20.500s
0: Epoch 20/90 - 20.500s
1: Epoch 21/90 - 20.649s
2: Epoch 21/90 - 20.649s
3: Epoch 21/90 - 20.649s
0: Epoch 21/90 - 20.649s
1: Epoch 22/90 - 20.614s
2: Epoch 22/90 - 20.614s
3: Epoch 22/90 - 20.614s
0: Epoch 22/90 - 20.614s
1: Epoch 23/90 - 20.614s
2: Epoch 23/90 - 20.614s
3: Epoch 23/90 - 20.614s
0: Epoch 23/90 - 20.614s
1: Epoch 24/90 - 20.380s
2: Epoch 24/90 - 20.380s
3: Epoch 24/90 - 20.380s
0: Epoch 24/90 - 20.380s
1: Epoch 25/90 - 20.638s
2: Epoch 25/90 - 20.638s
3: Epoch 25/90 - 20.638s
0: Epoch 25/90 - 20.638s
1: Epoch 26/90 - 20.563s
2: Epoch 26/90 - 20.563s
3: Epoch 26/90 - 20.563s
0: Epoch 26/90 - 20.563s
1: Epoch 27/90 - 20.983s
2: Epoch 27/90 - 20.983s
3: Epoch 27/90 - 20.983s
0: Epoch 27/90 - 20.983s
1: Epoch 28/90 - 20.525s
2: Epoch 28/90 - 20.525s
3: Epoch 28/90 - 20.525s
0: Epoch 28/90 - 20.525s
1: Epoch 29/90 - 20.484s
2: Epoch 29/90 - 20.484s
3: Epoch 29/90 - 20.484s
0: Epoch 29/90 - 20.484s
1: Epoch 30/90 - 20.216s
2: Epoch 30/90 - 20.216s
3: Epoch 30/90 - 20.216s
0: Epoch 30/90 - 20.216s
1: Epoch 31/90 - 20.192s
2: Epoch 31/90 - 20.192s
3: Epoch 31/90 - 20.192s
0: Epoch 31/90 - 20.192s
1: Epoch 32/90 - 20.721s
2: Epoch 32/90 - 20.721s
3: Epoch 32/90 - 20.721s
0: Epoch 32/90 - 20.721s
1: Epoch 33/90 - 20.519s
2: Epoch 33/90 - 20.519s
3: Epoch 33/90 - 20.519s
0: Epoch 33/90 - 20.519s
1: Epoch 34/90 - 20.489s
2: Epoch 34/90 - 20.489s
3: Epoch 34/90 - 20.489s
0: Epoch 34/90 - 20.490s
1: Epoch 35/90 - 20.548s
2: Epoch 35/90 - 20.548s
3: Epoch 35/90 - 20.548s
0: Epoch 35/90 - 20.547s
1: Epoch 36/90 - 20.553s
2: Epoch 36/90 - 20.553s
3: Epoch 36/90 - 20.553s
0: Epoch 36/90 - 20.553s
1: Epoch 37/90 - 20.532s
2: Epoch 37/90 - 20.532s
3: Epoch 37/90 - 20.532s
0: Epoch 37/90 - 20.532s
1: Epoch 38/90 - 20.616s
2: Epoch 38/90 - 20.616s
3: Epoch 38/90 - 20.616s
0: Epoch 38/90 - 20.616s
1: Epoch 39/90 - 20.385s
2: Epoch 39/90 - 20.385s
3: Epoch 39/90 - 20.385s
0: Epoch 39/90 - 20.385s
1: Epoch 40/90 - 20.475s
2: Epoch 40/90 - 20.475s
3: Epoch 40/90 - 20.475s
0: Epoch 40/90 - 20.475s
1: Epoch 41/90 - 20.376s
2: Epoch 41/90 - 20.376s
3: Epoch 41/90 - 20.376s
0: Epoch 41/90 - 20.376s
1: Epoch 42/90 - 20.667s
2: Epoch 42/90 - 20.667s
3: Epoch 42/90 - 20.667s
0: Epoch 42/90 - 20.667s
1: Epoch 43/90 - 20.456s
2: Epoch 43/90 - 20.456s
3: Epoch 43/90 - 20.456s
0: Epoch 43/90 - 20.456s
1: Epoch 44/90 - 20.453s
2: Epoch 44/90 - 20.453s
3: Epoch 44/90 - 20.453s
0: Epoch 44/90 - 20.453s
1: Epoch 45/90 - 20.610s
2: Epoch 45/90 - 20.610s
3: Epoch 45/90 - 20.610s
0: Epoch 45/90 - 20.610s
1: Epoch 46/90 - 20.551s
2: Epoch 46/90 - 20.551s
3: Epoch 46/90 - 20.551s
0: Epoch 46/90 - 20.551s
1: Epoch 47/90 - 20.600s
2: Epoch 47/90 - 20.600s
3: Epoch 47/90 - 20.600s
0: Epoch 47/90 - 20.600s
1: Epoch 48/90 - 20.550s
2: Epoch 48/90 - 20.550s
3: Epoch 48/90 - 20.550s
0: Epoch 48/90 - 20.550s
1: Epoch 49/90 - 20.499s
2: Epoch 49/90 - 20.499s
3: Epoch 49/90 - 20.499s
0: Epoch 49/90 - 20.499s
1: Epoch 50/90 - 20.398s
2: Epoch 50/90 - 20.398s
3: Epoch 50/90 - 20.398s
0: Epoch 50/90 - 20.398s
1: Epoch 51/90 - 20.483s
2: Epoch 51/90 - 20.483s
3: Epoch 51/90 - 20.483s
0: Epoch 51/90 - 20.483s
1: Epoch 52/90 - 20.582s
2: Epoch 52/90 - 20.582s
3: Epoch 52/90 - 20.582s
0: Epoch 52/90 - 20.582s
1: Epoch 53/90 - 20.490s
2: Epoch 53/90 - 20.490s
3: Epoch 53/90 - 20.490s
0: Epoch 53/90 - 20.490s
1: Epoch 54/90 - 20.312s
2: Epoch 54/90 - 20.312s
3: Epoch 54/90 - 20.312s
0: Epoch 54/90 - 20.312s
1: Epoch 55/90 - 20.827s
2: Epoch 55/90 - 20.827s
3: Epoch 55/90 - 20.827s
0: Epoch 55/90 - 20.827s
