WORKERS: "gpu19-ib:5555","gpu20-ib:5555"
Start at Tue Feb  9 17:07:34 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[19-20]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1092099
0: Number of devices per node: 2
1: Number of devices per node: 2
2: Number of devices per node: 2
3: Number of devices per node: 2
1: rank 1
1: 
0: rank 0
2: rank 2
3: rank 3
2: => creating model 'resnet50'
3: => creating model 'resnet50'
1: => creating model 'resnet50'
0: => creating model 'resnet50'
0: Epoch 40/90 - 62.690s
1: Epoch 41/90 - 63.035s
2: Epoch 41/90 - 63.035s
3: Epoch 41/90 - 63.035s
0: Epoch 41/90 - 63.035s
1: Epoch 42/90 - 62.569s
2: Epoch 42/90 - 62.569s
3: Epoch 42/90 - 62.569s
0: Epoch 42/90 - 62.569s
1: Epoch 43/90 - 63.439s
2: Epoch 43/90 - 63.439s
3: Epoch 43/90 - 63.439s
0: Epoch 43/90 - 63.439s
1: Epoch 44/90 - 63.249s
2: Epoch 44/90 - 63.249s
3: Epoch 44/90 - 63.249s
0: Epoch 44/90 - 63.249s
1: Epoch 45/90 - 63.231s
2: Epoch 45/90 - 63.231s
3: Epoch 45/90 - 63.231s
0: Epoch 45/90 - 63.231s
1: Epoch 46/90 - 63.013s
2: Epoch 46/90 - 63.013s
3: Epoch 46/90 - 63.013s
0: Epoch 46/90 - 63.013s
1: Epoch 47/90 - 63.449s
2: Epoch 47/90 - 63.449s
3: Epoch 47/90 - 63.449s
0: Epoch 47/90 - 63.449s
1: Epoch 48/90 - 63.949s
2: Epoch 48/90 - 63.949s
3: Epoch 48/90 - 63.949s
0: Epoch 48/90 - 63.949s
1: Epoch 49/90 - 63.498s
2: Epoch 49/90 - 63.498s
3: Epoch 49/90 - 63.498s
0: Epoch 49/90 - 63.498s
1: Epoch 50/90 - 62.490s
2: Epoch 50/90 - 62.490s
3: Epoch 50/90 - 62.490s
0: Epoch 50/90 - 62.490s
1: Epoch 51/90 - 62.823s
2: Epoch 51/90 - 62.823s
3: Epoch 51/90 - 62.823s
0: Epoch 51/90 - 62.823s
1: Epoch 52/90 - 63.061s
2: Epoch 52/90 - 63.061s
3: Epoch 52/90 - 63.061s
0: Epoch 52/90 - 63.061s
1: Epoch 53/90 - 62.583s
2: Epoch 53/90 - 62.583s
3: Epoch 53/90 - 62.583s
0: Epoch 53/90 - 62.583s
1: Epoch 54/90 - 62.566s
3: Epoch 54/90 - 62.566s
2: Epoch 54/90 - 62.567s
0: Epoch 54/90 - 62.566s
1: Epoch 55/90 - 62.611s
3: Epoch 55/90 - 62.611s
2: Epoch 55/90 - 62.611s
0: Epoch 55/90 - 62.611s
1: Epoch 56/90 - 62.246s
2: Epoch 56/90 - 62.246s
3: Epoch 56/90 - 62.246s
0: Epoch 56/90 - 62.246s
1: Epoch 57/90 - 62.114s
2: Epoch 57/90 - 62.115s
3: Epoch 57/90 - 62.114s
0: Epoch 57/90 - 62.115s
2: Epoch 58/90 - 62.976s
1: Epoch 58/90 - 62.976s
3: Epoch 58/90 - 62.976s
0: Epoch 58/90 - 62.976s
1: Epoch 59/90 - 62.640s
2: Epoch 59/90 - 62.640s
3: Epoch 59/90 - 62.640s
0: Epoch 59/90 - 62.640s
1: Epoch 60/90 - 63.135s
2: Epoch 60/90 - 63.135s
3: Epoch 60/90 - 63.135s
0: Epoch 60/90 - 63.135s
1: Epoch 61/90 - 63.108s
2: Epoch 61/90 - 63.108s
3: Epoch 61/90 - 63.108s
0: Epoch 61/90 - 63.108s
1: Epoch 62/90 - 62.882s
2: Epoch 62/90 - 62.882s
3: Epoch 62/90 - 62.882s
0: Epoch 62/90 - 62.882s
1: Epoch 63/90 - 63.243s
2: Epoch 63/90 - 63.243s
3: Epoch 63/90 - 63.243s
0: Epoch 63/90 - 63.243s
1: Epoch 64/90 - 62.588s
2: Epoch 64/90 - 62.588s
3: Epoch 64/90 - 62.588s
0: Epoch 64/90 - 62.588s
1: Epoch 65/90 - 62.578s
2: Epoch 65/90 - 62.578s
3: Epoch 65/90 - 62.578s
0: Epoch 65/90 - 62.578s
1: Epoch 66/90 - 62.701s
2: Epoch 66/90 - 62.701s
3: Epoch 66/90 - 62.701s
0: Epoch 66/90 - 62.701s
1: Epoch 67/90 - 62.350s
2: Epoch 67/90 - 62.350s
3: Epoch 67/90 - 62.350s
0: Epoch 67/90 - 62.350s
1: Epoch 68/90 - 62.275s
2: Epoch 68/90 - 62.275s
3: Epoch 68/90 - 62.275s
0: Epoch 68/90 - 62.275s
1: Epoch 69/90 - 62.911s
2: Epoch 69/90 - 62.911s
3: Epoch 69/90 - 62.911s
0: Epoch 69/90 - 62.911s
1: Epoch 70/90 - 62.927s
2: Epoch 70/90 - 62.927s
3: Epoch 70/90 - 62.927s
0: Epoch 70/90 - 62.927s
1: Epoch 71/90 - 63.232s
2: Epoch 71/90 - 63.232s
3: Epoch 71/90 - 63.232s
0: Epoch 71/90 - 63.232s
1: Epoch 72/90 - 63.298s
2: Epoch 72/90 - 63.298s
3: Epoch 72/90 - 63.298s
0: Epoch 72/90 - 63.298s
1: Epoch 73/90 - 63.109s
2: Epoch 73/90 - 63.109s
3: Epoch 73/90 - 63.109s
0: Epoch 73/90 - 63.109s
1: Epoch 74/90 - 63.352s
2: Epoch 74/90 - 63.352s
3: Epoch 74/90 - 63.352s
0: Epoch 74/90 - 63.352s
1: Epoch 75/90 - 63.089s
2: Epoch 75/90 - 63.089s
3: Epoch 75/90 - 63.089s
0: Epoch 75/90 - 63.089s
1: Epoch 76/90 - 63.006s
2: Epoch 76/90 - 63.006s
3: Epoch 76/90 - 63.006s
0: Epoch 76/90 - 63.006s
1: Epoch 77/90 - 62.467s
2: Epoch 77/90 - 62.467s
3: Epoch 77/90 - 62.467s
0: Epoch 77/90 - 62.467s
1: Epoch 78/90 - 62.787s
2: Epoch 78/90 - 62.787s
3: Epoch 78/90 - 62.787s
0: Epoch 78/90 - 62.787s
1: Epoch 79/90 - 62.993s
2: Epoch 79/90 - 62.993s
3: Epoch 79/90 - 62.993s
0: Epoch 79/90 - 62.993s
1: Epoch 80/90 - 62.899s
2: Epoch 80/90 - 62.899s
3: Epoch 80/90 - 62.899s
0: Epoch 80/90 - 62.899s
1: Epoch 81/90 - 63.161s
3: Epoch 81/90 - 63.161s
2: Epoch 81/90 - 63.161s
0: Epoch 81/90 - 63.161s
1: Epoch 82/90 - 64.251s
2: Epoch 82/90 - 64.251s
3: Epoch 82/90 - 64.251s
0: Epoch 82/90 - 64.251s
1: Epoch 83/90 - 63.582s
2: Epoch 83/90 - 63.582s
3: Epoch 83/90 - 63.582s
0: Epoch 83/90 - 63.582s
1: Epoch 84/90 - 62.883s
2: Epoch 84/90 - 62.883s
3: Epoch 84/90 - 62.883s
0: Epoch 84/90 - 62.883s
1: Epoch 85/90 - 63.384s
2: Epoch 85/90 - 63.384s
3: Epoch 85/90 - 63.384s
0: Epoch 85/90 - 63.384s
1: Epoch 86/90 - 62.972s
2: Epoch 86/90 - 62.972s
3: Epoch 86/90 - 62.972s
0: Epoch 86/90 - 62.972s
1: Epoch 87/90 - 62.939s
2: Epoch 87/90 - 62.939s
3: Epoch 87/90 - 62.939s
0: Epoch 87/90 - 62.939s
1: Epoch 88/90 - 62.692s
2: Epoch 88/90 - 62.692s
3: Epoch 88/90 - 62.692s
0: Epoch 88/90 - 62.692s
1: Epoch 89/90 - 62.844s
1: Steps per epoch: 196
1: Validation steps per epoch: 157
2: Epoch 89/90 - 62.844s
2: Steps per epoch: 196
2: Validation steps per epoch: 157
1: Average time per epoch: 63.172 s
3: Epoch 89/90 - 62.844s
3: Steps per epoch: 196
3: Validation steps per epoch: 157
2: Average time per epoch: 63.172 s
0: Epoch 89/90 - 62.844s
0: Steps per epoch: 196
0: Validation steps per epoch: 157
3: Average time per epoch: 63.172 s
0: 
0: Average time per epoch: 63.172 s
3: --- 5689.565195798874 seconds ---
0: --- 5690.200058698654 seconds ---
1: --- 5690.201073169708 seconds ---
2: --- 5689.565310239792 seconds ---
ELAPSED: 5691 seconds
End at Tue Feb  9 18:42:25 EET 2021
